title,director,genre,ratings,keywords
Battlefield Earth,rogerchristian,"['action', 'sciencefiction', 'war']",3,"['basedonnovel', 'post-apocalyptic', 'dystopia']"
Looney Tunes: Back in Action,joedante,"['animation', 'comedy', 'family']",5.6,"['spy', 'duck', 'bunny']"
Nine,robmarshall,"['drama', 'music', 'romance']",5.1,"['memory', 'sidewalkcafe', 'roomkey']"
Timeline,richarddonner,"['action', 'adventure', 'sciencefiction']",5.4,"['professor', 'timetravel', 'quantummechanics']"
The Postman,kevincostner,"['drama', 'adventure']",6.1,"['usa', 'post', 'postman']"
Babe: Pig in the City,georgemiller,"['adventure', 'comedy', 'drama']",5.2,"['piggybank', 'shortageofmoney', 'pig']"
The Last Witch Hunter,breckeisner,"['fantasy', 'action', 'adventure']",5.7,"['newyork', 'witch', 'uprising']"
Red Planet,antonyhoffman,"['thriller', 'action', 'sciencefiction']",5.4,"['mars', 'future', 'astronaut']"
Arthur et les Minimoys,lucbesson,"['adventure', 'fantasy', 'animation']",6,"['grandfathergrandsonrelationship', 'wretch', 'treasurehunt']"
Oceans,jacquesperrin,"['documentary', 'family']",7.3,"['ocean', 'sea', 'fish']"
A Sound of Thunder,peterhyams,"['thriller', 'sciencefiction', 'adventure']",4.8,"['dyinganddeath', 'timetravel', 'romance']"
Pompeii,paulw.s.anderson,"['action', 'adventure', 'history']",5.2,"['gladiator', 'arena', 'gladiatorfight']"
Don Gato: El inicio de la pandilla,andréscouturier,"['comedy', 'animation']",5.3,['3d']
A Beautiful Mind,ronhoward,"['drama', 'romance']",7.7,"['individual', 'schizophrenia', 'massachusetts']"
The Lion King,rogerallers,"['family', 'animation', 'drama']",8,"['lossofparents', 'wildboar', 'uncle']"
Journey 2: The Mysterious Island,bradpeyton,"['adventure', 'action', 'sciencefiction']",5.8,"['mission', 'mysteriousisland', 'missingperson']"
Cloudy with a Chance of Meatballs 2,codycameron,"['animation', 'family', 'comedy']",6.4,"['inventor', 'food', 'scientist']"
Red Dragon,brettratner,"['crime', 'thriller', 'horror']",6.7,"['psychopath', 'serialkiller', 'fbiagent']"
Hidalgo,joejohnston,"['western', 'adventure']",6.5,"['horserace', 'horse', 'racehorse']"
Jack and Jill,dennisdugan,['comedy'],4.1,['duringcreditsstinger']
2 Fast 2 Furious,johnsingleton,"['action', 'crime', 'thriller']",6.2,"['miami', 'carrace', 'sportscar']"
The Little Prince,markosborne,"['adventure', 'animation', 'fantasy']",7.6,"['philosophy', 'utopia', 'airplane']"
The Invasion,oliverhirschbiegel,"['sciencefiction', 'thriller']",5.7,"['remake', 'alien', 'escape']"
The Adventures of Rocky & Bullwinkle,desmcanuff,"['action', 'adventure', 'animation']",3.9,"['adventure', 'cartoon', 'comedy']"
The Secret Life of Pets,chrisrenaud,"['animation', 'family']",5.9,"['pet', 'bunny', 'anthropomorphism']"
The League of Extraordinary Gentlemen,stephennorrington,"['fantasy', 'action', 'thriller']",5.7,"['savingtheworld', 'vampire', 'bite']"
Despicable Me 2,pierrecoffin,"['animation', 'comedy', 'family']",7,"['secretagent', 'bakery', 'fallinginlove']"
Independence Day,rolandemmerich,"['action', 'adventure', 'sciencefiction']",6.7,"['spacecraft', 'patriotism', 'countdown']"
The Lost World: Jurassic Park,stevenspielberg,"['adventure', 'action', 'sciencefiction']",6.2,"['exoticisland', 'dna', 'paleontology']"
Madagascar,ericdarnell,"['family', 'animation']",6.6,"['lion', 'hippopotamus', 'giraffe']"
Children of Men,alfonsocuarón,"['drama', 'action', 'thriller']",7.4,"['policestate', 'hippie', 'rebel']"
X-Men,bryansinger,"['adventure', 'action', 'sciencefiction']",6.8,"['mutant', 'marvelcomic', 'superhero']"
Wanted,timurbekmambetov,"['action', 'thriller', 'crime']",6.4,"['assassin', 'lossoffather', 'secretsociety']"
The Rock,michaelbay,"['action', 'adventure', 'thriller']",6.9,"['sanfrancisco', 'fbi', 'gasattack']"
Ice Age: The Meltdown,carlossaldanha,"['animation', 'family', 'comedy']",6.5,"['mammoth', 'sloth', 'iceage']"
50 First Dates,petersegal,"['comedy', 'romance']",6.6,"['dejavu', 'amnesia', 'hawaii']"
Hairspray,adamshankman,"['family', 'comedy', 'music']",6.5,"['races', 'dream', 'dance']"
Exorcist: The Beginning,rennyharlin,"['horror', 'mystery', 'thriller']",4.7,"['secret', 'obsession', 'exorcism']"
Inspector Gadget,davidkellogg,"['action', 'adventure', 'comedy']",4.3,['gadget']
Now You See Me,louisleterrier,"['thriller', 'crime']",7.3,"['paris', 'bank', 'secret']"
Grown Ups,dennisdugan,['comedy'],6,"['overweight', 'swing', 'foot']"
The Terminal,stevenspielberg,"['comedy', 'drama']",7,"['newyork', 'airport', 'marriageproposal']"
Hotel for Dogs,thorfreudenthal,"['comedy', 'family']",5.7,"['adoption', 'puppy', 'pitbull']"
Vertical Limit,martincampbell,"['action', 'adventure', 'thriller']",5.9,"['himalaya', 'pakistan', 'climbing']"
Charlie Wilson's War,mikenichols,"['comedy', 'drama', 'history']",6.5,"['washingtond.c.', 'alcohol', 'cia']"
Shark Tale,vickyjenson,"['animation', 'action', 'comedy']",5.8,"['fish', 'hero', 'missionofmurder']"
Dreamgirls,billcondon,['drama'],6.6,"['musicrecord', 'manager', 'blackpeople']"
Be Cool,f.garygray,"['comedy', 'crime']",5.4,"['baseballbat', 'widow', 'recordingcontract']"
Munich,stevenspielberg,"['drama', 'action', 'history']",6.9,"['paris', 'assassination', 'israel']"
Tears of the Sun,antoinefuqua,"['action', 'drama', 'war']",6.4,"['u.s.army', 'nigeria', 'president']"
Killers,robertluketic,"['action', 'comedy', 'thriller']",5.7,['assassin']
The Man from U.N.C.L.E.,guyritchie,"['comedy', 'action', 'adventure']",7.1,"['spy', 'coldwar', 'remake']"
Spanglish,jamesl.brooks,['comedy'],5.8,"['upperclass', 'mother', 'singleparent']"
Monster House,gilkenan,"['animation', 'comedy', 'family']",6.3,"['monster', 'secret', 'toy']"
Bandits,barrylevinson,"['action', 'comedy', 'crime']",6.2,['prison']
First Knight,jerryzucker,"['action', 'adventure', 'drama']",5.9,"['camelot', 'knight', 'kingarthur']"
Anna and the King,andytennant,"['drama', 'history', 'romance']",6.4,"['civilwar', 'fathersonrelationship', 'eastindiatradingcompany']"
Immortals,tarsemsingh,"['fantasy', 'action', 'drama']",5.7,"['poison', 'army', 'zeus']"
Hostage,florent-emiliosiri,"['mystery', 'drama', 'thriller']",6.2,"['fbi', 'kidnapping', 'policeoperation']"
Titan A.E.,garygoldman,"['animation', 'action', 'sciencefiction']",6.3,"['monster', 'galaxy', 'dystopia']"
Hollywood Homicide,ronshelton,"['action', 'adventure', 'comedy']",5,"['rapmusic', 'hitman']"
Soldier,paulw.s.anderson,"['action', 'war', 'sciencefiction']",6.1,"['spacemarine', 'dystopia', 'alienplanet']"
Carriers,àlexpastor,"['action', 'drama', 'horror']",5.8,"['beach', 'desperation', 'infection']"
Monkeybone,henryselick,"['adventure', 'fantasy', 'animation']",4.3,"['parallelworld', 'organdonation', 'horninessagent']"
Flight of the Phoenix,johnmoore,"['action', 'adventure', 'drama']",5.7,"['robbery', 'water', 'gobidesert']"
Unbreakable,m.nightshyamalan,"['sciencefiction', 'thriller', 'drama']",6.9,"['fathersonrelationship', 'trainaccident', 'comicbook']"
Minions,kylebalda,"['family', 'animation', 'adventure']",6.4,"['assistant', 'aftercreditsstinger', 'duringcreditsstinger']"
Sucker Punch,zacksnyder,"['action', 'fantasy', 'thriller']",5.9,"['brothel', 'fantasy', 'asylum']"
Snake Eyes,briandepalma,"['crime', 'mystery']",5.8,"['casino', 'politicalactivism', 'boxer']"
Sphere,barrylevinson,['sciencefiction'],5.8,"['ocean', 'extraterrestrialtechnology', 'spacemarine']"
The Angry Birds Movie,fergalreilly,"['family', 'animation']",5.9,"['island', 'bird', 'pig']"
Fool's Gold,andytennant,"['romance', 'comedy', 'adventure']",5.4,"['helicopter', 'cemetery', 'boat']"
Funny People,juddapatow,"['comedy', 'drama']",5.7,"['comedian', 'cancer', 'bromance']"
The Kingdom,peterberg,"['thriller', 'action', 'drama']",6.5,"['assassination', 'assassin', 'terrorist']"
Talladega Nights: The Ballad of Ricky Bobby,adammckay,['comedy'],6.2,"['northcarolina', 'prayer', 'familydinner']"
Dr. Dolittle 2,stevecarr,"['comedy', 'family', 'romance']",4.9,"['veterinarian', 'forest', 'bear']"
Braveheart,melgibson,"['action', 'drama', 'history']",7.7,"['individual', 'scotland', 'inlovewithenemy']"
Jarhead,sammendes,"['drama', 'war']",6.6,"['sniper', 'marinecorps', 'saudiarabia']"
The Simpsons Movie,davidsilverman,"['animation', 'comedy', 'family']",6.9,"['fathersonrelationship', 'lake', 'springfield']"
The Majestic,frankdarabont,"['drama', 'romance']",6.6,"['california', 'falselyaccused', 'prosecution']"
Driven,rennyharlin,['action'],4.5,"['competition', 'running', 'career']"
Deux frères,jean-jacquesannaud,"['adventure', 'drama', 'family']",6.9,"['brotherbrotherrelationship', 'lossofbrother', 'cambodia']"
The Village,m.nightshyamalan,"['drama', 'mystery', 'thriller']",6.2,"['secret', 'forest', 'ruralsetting']"
Doctor Dolittle,bettythomas,"['comedy', 'family', 'fantasy']",5.4,"['talkingtoanimals', 'womandirector']"
Signs,m.nightshyamalan,"['drama', 'thriller', 'sciencefiction']",6.4,"['symbolism', 'water', 'farm']"
Shrek 2,andrewadamson,"['adventure', 'animation', 'comedy']",6.7,"['prison', 'magic', 'liberation']"
Cars,johnlasseter,"['animation', 'adventure', 'comedy']",6.6,"['carrace', 'carjourney', 'villageandtown']"
Runaway Bride,garrymarshall,"['comedy', 'romance']",5.7,"['smalltown', 'self-discovery', 'justmarried']"
xXx,robcohen,"['action', 'adventure', 'thriller']",5.8,"['sportscar', 'biologicalweapon', 'coldwar']"
The SpongeBob Movie: Sponge Out of Water,paultibbitt,"['animation', 'adventure', 'comedy']",5.8,"['ocean', 'sea', 'star']"
Ransom,ronhoward,"['action', 'thriller']",6.4,"['bounty', 'lossofchild', 'yellowpress']"
Inglourious Basterds,quentintarantino,"['drama', 'action', 'thriller']",7.9,"['paris', 'guerrilla', 'cinema']"
Hook,stevenspielberg,"['adventure', 'fantasy', 'comedy']",6.6,"['flying', 'swordplay', 'sword']"
Die Hard 2,rennyharlin,"['action', 'thriller']",6.6,"['ambush', 'helicopter', 'journalist']"
S.W.A.T.,clarkjohnson,"['action', 'thriller', 'crime']",5.8,"['liberation', 'transportofprisoners', 'specialunit']"
Vanilla Sky,cameroncrowe,"['drama', 'mystery', 'romance']",6.5,"['amnesia', 'ex-girlfriend', 'virtualreality']"
Lady in the Water,m.nightshyamalan,"['drama', 'thriller', 'fantasy']",5.3,"['fortuneteller', 'religionandsupernatural', 'supernaturalpowers']"
AVP: Alien vs. Predator,paulw.s.anderson,"['adventure', 'sciencefiction', 'action']",5.5,"['savingtheworld', 'predator', 'laserpointer']"
Alvin and the Chipmunks: The Squeakquel,bettythomas,"['comedy', 'family', 'animation']",5.4,"['chipmunk', 'cgi', 'basedontvseries']"
We Were Soldiers,randallwallace,"['action', 'history', 'war']",6.7,"['vietnamveteran', 'missile', 'vietnamwar']"
Olympus Has Fallen,antoinefuqua,"['action', 'thriller']",6.2,"['whitehouse', 'secretservice', 'terroristattack']"
Star Trek: Insurrection,jonathanfrakes,"['sciencefiction', 'action', 'adventure']",6.3,"['spaceopera', 'retribution', 'spacecraftofficer']"
Battle: Los Angeles,jonathanliebesman,"['action', 'sciencefiction']",5.5,"['savingtheworld', 'hero', 'marinecorps']"
Big Fish,timburton,"['adventure', 'fantasy', 'drama']",7.6,"['circus', 'fathersonrelationship', 'witch']"
Wolf,mikenichols,['fantasy'],6,"['adultery', 'heal', 'bite']"
War Horse,stevenspielberg,"['drama', 'war']",7,"['worldwari', 'horse', 'farmlife']"
The Monuments Men,georgeclooney,"['war', 'drama', 'history']",5.8,"['worldwarii', 'nazis', 'arttheft']"
The Abyss,jamescameron,"['adventure', 'action', 'thriller']",7.1,"['ocean', 'sea', 'divingsuit']"
Wall Street: Money Never Sleeps,oliverstone,"['drama', 'crime']",5.8,['duringcreditsstinger']
Dracula Untold,garyshore,"['horror', 'action', 'drama']",6.2,"['vampire', 'dracula', 'bite']"
The Siege,edwardzwick,"['drama', 'action', 'thriller']",6,"['islam', 'muslim', 'carbomb']"
Stardust,matthewvaughn,"['adventure', 'fantasy', 'romance']",7.1,"['witch', 'basedonnovel', 'newlove']"
Seven Years in Tibet,jean-jacquesannaud,"['adventure', 'drama', 'history']",7,"['buddhism', 'himalaya', 'austria']"
The Dilemma,ronhoward,"['comedy', 'drama']",5.2,"['adultery', 'infidelity', 'secret']"
Bad Company,joelschumacher,"['action', 'adventure', 'comedy']",5.4,"['ambush', 'cia', 'assassin']"
Doom,andrzejbartkowiak,"['adventure', 'action', 'horror']",5,"['teleportation', 'basedonvideogame', 'severedear']"
I Spy,bettythomas,"['action', 'adventure', 'comedy']",5.2,"['budapest', 'kidnapping', 'boxer']"
Underworld: Awakening,månsmårlind,"['fantasy', 'action', 'horror']",6.1,"['vampire', 'daughter', 'hybrid']"
Rock of Ages,adamshankman,"['comedy', 'drama', 'music']",6,"['musical', 'rocker', 'teenager']"
Hart's War,gregoryhoblit,"['drama', 'war']",5.9,"['blackpeople', 'worldwarii', 'prisonersofwar']"
Killer Elite,garymckendry,"['action', 'adventure', 'thriller']",6.1,['rescue']
Rollerball,johnmctiernan,"['action', 'sciencefiction', 'thriller']",3.4,"['manager', 'arena', 'dystopia']"
Ballistic: Ecks vs. Sever,wychkaosayananda,"['action', 'adventure', 'thriller']",4.3,"['lossoffamily', 'enemy', 'adversary']"
Hard Rain,mikaelsalomon,['thriller'],5.5,"['sheriff', 'rain', 'evacuation']"
Osmosis Jones,bobbyfarrelly,"['adventure', 'animation', 'action']",5.9,"['cold', 'flu', 'lethalvirus']"
Legends of Oz: Dorothy's Return,danst.pierre,"['animation', 'music', 'family']",5.9,[]
Blackhat,michaelmann,"['crime', 'drama', 'mystery']",5.1,"['terrorist', 'technology', 'antihero']"
Sky Captain and the World of Tomorrow,kerryconran,"['mystery', 'action', 'thriller']",5.7,"['londonengland', 'himalaya', 'journalist']"
Basic Instinct 2,michaelcaton-jones,"['crime', 'mystery', 'thriller']",4.6,"['malenudity', 'sex', 'legs']"
Escape Plan,mikaelhåfström,"['action', 'thriller']",6.7,"['prison', 'muslim', 'ship']"
The Legend of Hercules,rennyharlin,"['action', 'adventure']",4.4,"['mythology', 'zeus', 'ancientgreece']"
The Sum of All Fears,philaldenrobinson,"['thriller', 'action', 'drama']",5.9,"['cia', 'terrorist', 'atomicbomb']"
The Twilight Saga: Eclipse,davidslade,"['adventure', 'fantasy', 'drama']",5.8,"['vampire', 'graduation', 'bite']"
The Score,frankoz,"['action', 'crime', 'thriller']",6.7,"['quebec', 'jewel', 'scepter']"
Despicable Me,pierrecoffin,"['animation', 'family']",7.1,"['adoptivefather', 'orphanage', ""life'sdream""]"
Money Train,josephruben,"['action', 'comedy', 'crime']",5.4,"['brotherbrotherrelationship', 'subway', 'newyorkcity']"
Ted 2,sethmacfarlane,['comedy'],6.2,"['spermbank', 'sequel', 'buddy']"
Agora,alejandroamenábar,"['adventure', 'drama', 'history']",6.9,"['christianity', 'philosophy', 'egypt']"
Mystery Men,kinkausher,"['adventure', 'fantasy', 'action']",5.7,"['bowling', 'hostage', 'sphinx']"
Hall Pass,bobbyfarrelly,['comedy'],5.4,"['wifehusbandrelationship', 'daydream', 'marriage']"
The Insider,michaelmann,"['drama', 'thriller']",7.3,"['spy', 'newspaper', 'research']"
The Finest Hours,craiggillespie,"['action', 'drama', 'history']",6.3,"['coastguard', 'basedontruestory', 'survival']"
Body of Lies,ridleyscott,"['action', 'drama', 'thriller']",6.5,"['terror', 'falselyaccused', 'basedonnovel']"
Dinner for Schmucks,jayroach,['comedy'],5.5,"['mouse', 'idiot', 'mindcontrol']"
Abraham Lincoln: Vampire Hunter,timurbekmambetov,"['action', 'fantasy', 'horror']",5.5,"['usapresident', 'vampire', 'steamlocomotive']"
Entrapment,jonamiel,"['romance', 'drama', 'mystery']",6,"['londonengland', ""newyear'seve"", 'skyscraper']"
The X Files,robbowman,"['mystery', 'sciencefiction', 'thriller']",6.6,"['bomb', 'helicopter', 'secret']"
The Last Legion,douglefler,"['action', 'adventure', 'fantasy']",5,"['romanempire', 'emperor', 'ancientrome']"
Saving Private Ryan,stevenspielberg,"['drama', 'history', 'war']",7.9,"['warcrimes', 'selfsacrifice', 'warveteran']"
Need for Speed,scottwaugh,"['action', 'crime', 'drama']",6.1,"['streetrace', 'supercars', 'superspeed']"
What Women Want,nancymeyers,"['comedy', 'romance']",6.1,"['women', 'telepathy', 'supernaturalpowers']"
Ice Age,chriswedge,"['animation', 'comedy', 'family']",7.1,"['humanevolution', 'parentskidsrelationship', 'squirrel']"
Dreamcatcher,lawrencekasdan,"['drama', 'horror', 'sciencefiction']",5.3,['religionandsupernatural']
Lincoln,stevenspielberg,"['history', 'drama']",6.7,"['usapresident', 'speech', 'battlefield']"
The Matrix,lillywachowski,"['action', 'sciencefiction']",7.9,"['savingtheworld', 'artificialintelligence', 'manvsmachine']"
Apollo 13,ronhoward,['drama'],7.3,"['moon', 'florida', 'nasa']"
The Santa Clause 2,michaellembeck,"['fantasy', 'comedy', 'family']",5.5,"['holiday', 'christmasparty', 'home']"
Les Misérables,tomhooper,"['drama', 'music', 'romance']",7.1,"['france', 'robbery', 'brothel']"
You've Got Mail,noraephron,"['comedy', 'romance']",6.3,"['romanticcomedy', 'onlinedating', 'womandirector']"
Step Brothers,adammckay,['comedy'],6.5,"['becominganadult', 'autonomy', 'childhoodtrauma']"
The Mask of Zorro,martincampbell,"['action', 'adventure']",6.3,"['california', 'spy', 'hero']"
Due Date,toddphillips,"['comedy', 'drama']",6.2,"['highway', 'slacker', 'hitchhiker']"
Unbroken,angelinajolie,"['drama', 'war']",7.3,"['worldwarii', 'prisonersofwar', 'biography']"
Space Cowboys,clinteastwood,"['action', 'adventure', 'thriller']",6.3,"['nasa', 'spacetravel', 'astronaut']"
Cliffhanger,rennyharlin,"['action', 'adventure', 'thriller']",6.1,"['rockymountains', 'airplane', 'hijacking']"
Broken Arrow,johnwoo,"['action', 'adventure', 'drama']",5.7,"['helicopter', 'river', 'captain']"
The Kid,jonturteltaub,"['fantasy', 'comedy', 'family']",6,"['agedifference', 'midlifecrisis', 'suppressedpast']"
World Trade Center,oliverstone,"['drama', 'history', 'thriller']",5.9,"['terror', 'runaway', 'alarmclock']"
Mona Lisa Smile,mikenewell,"['drama', 'romance']",6.5,"['faculty', 'arthistory', 'rowing']"
The Dictator,larrycharles,['comedy'],5.9,['kurdish']
Eyes Wide Shut,stanleykubrick,"['mystery', 'drama']",7.1,"['lifeanddeath', 'sexualobsession', 'freelove']"
Annie,willgluck,"['comedy', 'drama', 'family']",6,"['musical', 'orphan', 'fosterchild']"
Focus,glennficarra,"['romance', 'comedy', 'crime']",6.7,"['seduction', 'conman', 'femmefatale']"
This Means War,mcg,"['action', 'comedy', 'romance']",5.9,"['lovetriangle', 'friendship', 'dating']"
Blade: Trinity,davids.goyer,"['sciencefiction', 'action', 'horror']",5.7,"['fbi', 'dracula', 'fistfight']"
Red Dawn,johnmilius,"['action', 'thriller']",6.4,"['guerrilla', 'colorado', 'invasion']"
Primary Colors,mikenichols,"['comedy', 'drama']",6.1,"['whitehouse', 'usapresident', 'presidentialelection']"
Resident Evil: Retribution,paulw.s.anderson,"['action', 'horror', 'sciencefiction']",5.6,"['mutant', 'dystopia', 'sequel']"
Death Race,paulw.s.anderson,"['action', 'thriller', 'sciencefiction']",6,"['carrace', 'dystopia', 'matteroflifeanddeath']"
The Long Kiss Goodnight,rennyharlin,"['crime', 'action', 'mystery']",6.5,"['assassination', 'amnesia', 'hostage']"
Proof of Life,taylorhackford,"['action', 'adventure', 'drama']",6,"['hostage', 'newlove', 'suspense']"
Zathura: A Space Adventure,jonfavreau,"['family', 'fantasy', 'sciencefiction']",6.1,"['adventure', 'house', 'alien']"
Fight Club,davidfincher,['drama'],8.3,"['supportgroup', 'dualidentity', 'nihilism']"
We Are Marshall,mcg,['drama'],6.7,"['americanfootball', '1970s', 'trainer']"
Hudson Hawk,michaellehmann,"['action', 'adventure', 'comedy']",5.4,"['vatican', 'leonardodavinci', 'painting']"
Lucky Numbers,noraephron,"['action', 'adventure', 'comedy']",4.9,"['weatherforecast', 'tvstation', 'weather']"
"I, Frankenstein",stuartbeattie,"['horror', 'thriller']",5,"['soul', 'queen', 'antihero']"
Oliver Twist,romanpolanski,"['crime', 'drama', 'family']",6.7,"['londonengland', 'childabuse', 'streetgang']"
Elektra,robbowman,"['action', 'fantasy']",4.8,"['martialarts', 'basedoncomicbook', 'femaleassassin']"
Sin City: A Dame to Kill For,robertrodriguez,"['crime', 'thriller']",6.3,"['detective', 'dystopia', 'dominatrix']"
Random Hearts,sydneypollack,"['drama', 'romance']",5.3,"['infidelity', 'politician', 'airplanecrash']"
Everest,baltasarkormákur,"['adventure', 'drama']",6.7,"['mountains', 'snowstorm', 'hiking']"
Perfume: The Story of a Murderer,tomtykwer,"['crime', 'fantasy', 'drama']",7.1,"['paris', 'femalenudity', 'prostitute']"
Austin Powers in Goldmember,jayroach,"['comedy', 'crime', 'sciencefiction']",5.9,"['savingtheworld', 'submarine', 'brotherbrotherrelationship']"
Astro Boy,davidbowers,"['animation', 'action', 'family']",6.1,['superhero']
Jurassic Park,stevenspielberg,"['adventure', 'sciencefiction']",7.6,"['exoticisland', 'dna', 'paleontology']"
Wyatt Earp,lawrencekasdan,"['drama', 'action', 'western']",6.5,"['gunslinger', 'gambling', 'sheriff']"
Clear and Present Danger,phillipnoyce,"['action', 'drama', 'thriller']",6.4,"['assassination', 'spy', 'ambush']"
Little Man,keenenivorywayans,"['comedy', 'crime']",5.3,"['baby', 'adoption', 'marriedcouple']"
U-571,jonathanmostow,"['action', 'drama', 'thriller']",6.1,"['submarine', 'worldwarii', 'northatlantic']"
The American President,robreiner,"['comedy', 'drama', 'romance']",6.5,"['whitehouse', 'usapresident', 'newlove']"
The Love Guru,marcoschnabel,"['comedy', 'romance']",4.3,"['sport', 'icehockey', 'guru']"
3000 Miles to Graceland,demianlichtenstein,"['action', 'adventure', 'comedy']",5.8,"['casino', 'submachinegun', 'hold-uprobbery']"
The Hateful Eight,quentintarantino,"['crime', 'drama', 'mystery']",7.6,"['bountyhunter', 'wyoming', 'mountains']"
Blades of Glory,joshgordon,"['action', 'comedy', 'drama']",5.9,"['competition', 'olympicgames', 'sport']"
Hop,timhill,"['animation', 'comedy', 'family']",5.5,"[""coupd'etat"", 'slacker', 'easter']"
300,zacksnyder,"['action', 'adventure', 'war']",7,"['evisceration', 'javelin', 'shield']"
Meet the Fockers,jayroach,"['comedy', 'romance']",6.1,"['cia', 'parentskidsrelationship', 'florida']"
Marley & Me,davidfrankel,"['comedy', 'family']",6.9,"['journalist', 'basedonnovel', 'puppy']"
The Green Mile,frankdarabont,"['fantasy', 'drama', 'crime']",8.2,"['southernusa', 'blackpeople', 'mentallydisabled']"
Wild Hogs,waltbecker,"['action', 'adventure', 'comedy']",5.6,"['midlifecrisis', 'roadtrip', 'politicallyincorrect']"
Chicken Little,markdindal,"['animation', 'family', 'comedy']",5.6,"['fish', 'smalltown', 'spacemarine']"
Gone Girl,davidfincher,"['mystery', 'thriller', 'drama']",7.9,"['basedonnovel', 'marriagecrisis', 'disappearance']"
The Bourne Identity,dougliman,"['action', 'drama', 'mystery']",7.3,"['paris', 'barcelonaspain', 'assassin']"
GoldenEye,martincampbell,"['adventure', 'action', 'thriller']",6.6,"['cuba', 'falselyaccused', 'secretidentity']"
The General's Daughter,simonwest,"['crime', 'drama', 'mystery']",6.1,"['suicide', 'detective', 'basedonnovel']"
The Truman Show,peterweir,"['comedy', 'drama']",7.8,"['claustrophobia', 'hiddencamera', 'dystopia']"
The Prince of Egypt,simonwells,"['adventure', 'animation', 'drama']",6.8,"['moses', 'egypt', 'pyramid']"
Daddy Day Care,stevecarr,"['comedy', 'family']",5.6,"['competition', 'success', 'kindergarten']"
2 Guns,baltasarkormákur,"['action', 'comedy', 'crime']",6.6,"['undercover', 'undercoveragent', 'basedoncomicbook']"
Cats & Dogs,lawrenceguterman,"['comedy', 'family']",5,"['fight', 'governance', 'puppy']"
The Italian Job,f.garygray,"['action', 'crime']",6.6,"['venice', 'california', 'trainstation']"
Two Weeks Notice,marclawrence,"['romance', 'comedy']",5.9,"['newyork', 'parishhall', 'romanticcomedy']"
Antz,ericdarnell,"['adventure', 'animation', 'comedy']",6,"['general', 'hero', 'worker']"
Couples Retreat,peterbillingsley,"['comedy', 'romance']",5.3,"['island', 'marriedcouple', 'yoga']"
Days of Thunder,tonyscott,['adventure'],5.9,"['stock-car-race', 'daytona', 'carcrash']"
Cheaper by the Dozen 2,adamshankman,['comedy'],5.7,"['holiday', 'lake', 'bigfamily']"
Maze Runner: The Scorch Trials,wesball,['action'],6.4,"['basedonnovel', 'resistance', 'maze']"
Eat Pray Love,ryanmurphy,['drama'],5.8,"['indonesia', 'femaleprotagonist', 'india']"
The Family Man,brettratner,"['comedy', 'drama', 'romance']",6.5,"['workaholic', 'secondchance', 'guardianangel']"
RED,robertschwentke,"['action', 'adventure', 'comedy']",6.6,"['cia', 'retirement', 'shottodeath']"
Any Given Sunday,oliverstone,['drama'],6.8,"['americanfootball', 'trainer', 'training']"
The Horse Whisperer,robertredford,"['drama', 'romance']",6.7,"['lovetriangle', 'newyork', 'montana']"
Collateral,michaelmann,"['drama', 'crime', 'thriller']",7,"['california', 'taxi', 'assassin']"
The Scorpion King,chuckrussell,"['action', 'fantasy', 'adventure']",5.3,"['egypt', 'temple']"
Ladder 49,jayrussell,"['drama', 'action', 'thriller']",6.2,"['ledge', 'practicaljoke']"
Jack Reacher,christophermcquarrie,"['crime', 'drama', 'thriller']",6.3,"['basedonnovel', 'sniper', 'investigation']"
Deep Blue Sea,rennyharlin,"['action', 'sciencefiction', 'thriller']",5.6,"['sharkattack', 'shark', ""alzheimer'sdisease""]"
Michael Jackson's This Is It,kennyortega,"['music', 'documentary']",6.7,"['popstar', 'music', 'concert']"
Contagion,stevensoderbergh,"['drama', 'thriller', 'sciencefiction']",6.2,"['savingtheworld', 'mutation', 'infection']"
Kangaroo Jack,davidmcnally,"['comedy', 'adventure', 'crime']",4.3,"['moneydelivery', 'fool', 'australia']"
Coraline,henryselick,"['animation', 'family']",7.3,"['dream', 'eye', 'stuffedanimal']"
The Happening,m.nightshyamalan,"['thriller', 'sciencefiction']",4.9,"['tree', 'naturaldisaster', 'crisis']"
Man on Fire,tonyscott,"['action', 'drama', 'thriller']",7.3,"['mexico', 'cia', 'kidnapping']"
The Shaggy Dog,brianrobbins,"['comedy', 'family']",4.5,"['fathersonrelationship', 'parentskidsrelationship', 'workaholic']"
Starsky & Hutch,toddphillips,"['comedy', 'crime']",5.6,"['informant', 'jumpingfromarooftop', 'surveillancefootage']"
Jingle All the Way,brianlevant,"['family', 'comedy']",5.5,"['holiday', 'christmasparty', 'santaclaus']"
Hellboy,guillermodeltoro,"['fantasy', 'action', 'sciencefiction']",6.5,"['blackmagic', 'fistfight', 'cover-up']"
A Civil Action,stevenzaillian,['drama'],6.1,"['success', 'advancement', 'rightandjustice']"
ParaNorman,samfell,"['family', 'animation', 'adventure']",6.7,"['medium', 'stopmotion', 'curse']"
The Jackal,michaelcaton-jones,"['action', 'thriller', 'adventure']",6.1,"['fbi', 'coldwar', 'hitman']"
Paycheck,johnwoo,"['action', 'adventure', 'mystery']",5.9,"['prophecy', 'engineer', 'scientist']"
Up Close & Personal,jonavnet,"['drama', 'romance']",5.9,"['miami', 'television', 'career']"
